,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00;
,00,15,03,03,03,03,99,14,01,01,15,99,03,99,03,11,99,11,03,03,03,03,60,03,03,99,03,11,03,03,99,14,00;
,00,02,01,01,01,01,01,12,03,03,10,01,01,01,01,02,01,02,01,01,01,01,01,01,01,01,01,99,01,01,01,02,00;
,00,08,03,03,14,01,01,01,01,01,12,99,03,03,03,09,03,09,96,03,98,03,03,03,96,03,03,09,03,14,01,02,00;
,00,02,01,01,08,99,14,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,01,01,01,02,01,02,00;
,00,99,01,01,04,01,02,00,01,01,70,01,01,00,00,01,01,01,01,01,01,01,01,01,01,00,01,07,01,99,01,02,00;
,00,02,01,01,01,01,02,00,01,01,01,01,01,51,00,01,01,01,01,01,01,97,01,01,01,00,01,12,03,10,01,02,00;
,00,08,03,99,03,99,10,01,01,01,01,01,01,00,00,01,01,01,01,01,97,01,97,01,01,00,01,01,01,02,01,02,00;
,00,99,01,01,01,01,02,01,01,01,70,01,01,01,83,82,01,82,83,01,01,01,01,01,01,00,01,01,01,08,99,10,00;
,00,12,03,03,03,03,09,95,01,01,01,01,01,01,83,82,50,82,83,01,01,01,01,01,01,01,01,01,01,02,01,02,00;
,00,01,01,01,01,01,01,00,01,97,01,97,01,01,01,00,00,00,01,01,01,01,01,01,01,01,01,01,01,02,01,02,00;
,00,01,01,01,01,01,01,00,01,01,97,01,01,01,01,01,01,01,01,01,01,01,70,01,01,92,11,03,03,10,01,02,00;
,00,01,01,01,01,01,01,00,01,01,01,01,01,01,01,01,01,00,00,01,01,01,01,01,01,00,04,01,01,99,01,02,00;
,00,01,01,01,01,01,01,00,01,01,01,01,01,01,01,01,01,00,52,01,01,01,01,01,01,00,01,01,01,02,01,02,00;
,00,01,01,01,01,01,01,00,01,01,01,01,01,01,01,01,01,00,00,01,01,01,70,01,01,00,07,01,01,02,01,02,00;
,00,01,01,01,01,01,01,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,12,03,03,09,03,13,00;
,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00;
